Image,Cosine_score,Deciphered_count,original_count,levenshtein_distance,time
Kids_Level.txt,0.9073713564728599,396,396,5,7.898738861083984
GreenlandIceSheet_P2GlobalWarming.txt,0.8236664986723672,574,573,13,11.720033645629883
Pumpkin1_rule.txt,0.82915619758885,50,49,1,1.1572091579437256
GreelanIceCap_P3Interlaken.txt,0.9174235347384501,584,580,16,11.439694881439209
Autumn3_rule.txt,0.7938566201357354,50,49,1,1.3406791687011719
Pumpkin1_States.txt,0.9666666666666667,282,282,1,5.6432507038116455
Autumn3_Workflow.txt,0.8017837257372731,66,66,0,1.3550028800964355
RainyLondon_P1ChildLabour.txt,0.85692452744258,721,715,17,14.41665244102478
Kids_Sensore.txt,1.0,73,73,0,1.4096581935882568
GreelanIceCap_skills.txt,0.6708203932499369,55,56,2,1.3355746269226074
RainyLondon_rule.txt,0.82915619758885,50,49,1,1.1684436798095703
GreenlandIceSheet_P4Europe.txt,0.9454730171937421,595,595,5,11.515804529190063
Autumn1_Sensore.txt,1.0,73,73,0,1.4610776901245117
GreenlandIceSheet_P1ChildLabour.txt,0.8402187836707041,720,715,16,14.289657592773438
Kids_States.txt,0.9666666666666667,282,282,1,5.7261738777160645
Kids_rule.txt,0.82915619758885,50,49,1,1.290602684020996
Autumn3_States.txt,0.9333333333333333,282,282,2,6.0766589641571045
Autumn3_Level.txt,0.9073713564728599,396,396,5,7.990466833114624
GreelanIceCap_P2GlobalWarming.txt,0.8043618151097336,579,573,17,11.13190484046936
Pumpkin1_P3Interlaken.txt,0.931854787382905,583,580,11,11.62688660621643
Autumn3_Sensore.txt,1.0,73,73,0,1.4264802932739258
Pumpkin1_Sensore.txt,1.0,73,73,0,1.4076838493347168
Autumn3_P2GlobalWarming.txt,0.8365362877141229,574,573,9,11.698378801345825
dog_skills.txt,1.0,56,56,0,1.2844958305358887
RainyLondon_P3Interlaken.txt,0.9195342658665839,584,580,16,12.027707576751709
Autumn1_Workflow.txt,0.8017837257372731,66,66,0,1.4098548889160156
GreelanIceCap_P4Europe.txt,0.9390701001210365,598,595,13,11.8122878074646
Pumpkin1_Level.txt,0.9073713564728599,396,396,5,7.939646005630493
Kids_P3Interlaken.txt,0.931854787382905,583,580,11,11.592155456542969
GreelanIceCap_rule.txt,0.82915619758885,51,49,3,1.1028432846069336
Pumpkin1_P1ChildLabour.txt,0.8494519571176349,720,715,13,14.257157802581787
GreenlandIceSheet_Workflow.txt,0.6681531047810609,66,66,1,1.329521656036377
GreelanIceCap_P5Tamil.txt,0.9293583018243473,721,714,19,14.97854495048523
Autumn3_P3Interlaken.txt,0.931854787382905,583,580,11,11.606459617614746
Autumn1_P4Europe.txt,0.9416527426346925,595,595,5,12.560048341751099
Autumn3_skills.txt,1.0,56,56,0,1.248521089553833
Kids_Workflow.txt,0.8017837257372731,66,66,0,1.3657078742980957
Kids_P4Europe.txt,0.9454730171937421,595,595,5,11.96446418762207
Autumn1_Level.txt,0.8967288884531952,397,396,6,7.742243528366089
GreenlandIceSheet_skills.txt,1.0,56,56,0,1.204519510269165
Autumn3_P5Tamil.txt,0.9275038738455822,718,714,12,14.284254789352417
Pumpkin1_Workflow.txt,0.8017837257372731,66,66,0,1.4419379234313965
GreelanIceCap_P1ChildLabour.txt,0.8350681592449252,721,715,22,14.16240668296814
GreenlandIceSheet_States.txt,0.9666666666666667,282,282,1,5.928818702697754
