Image,Cosine_score,Deciphered_count,original_count,levenshtein_distance,time
Kids_Level.txt,0.9073713564728599,396,396,5,7.859092712402344
GreenlandIceSheet_P2GlobalWarming.txt,0.8236664986723672,574,573,13,11.434573411941528
Pumpkin1_rule.txt,0.82915619758885,50,49,1,1.1317496299743652
GreelanIceCap_P3Interlaken.txt,0.9174235347384501,584,580,16,11.637213945388794
Autumn3_rule.txt,0.7938566201357354,50,49,1,1.1402058601379395
Pumpkin1_States.txt,0.9666666666666667,282,282,1,5.747810363769531
Autumn3_Workflow.txt,0.8017837257372731,66,66,0,1.5180974006652832
RainyLondon_P1ChildLabour.txt,0.85692452744258,721,715,17,15.607408046722412
Kids_Sensore.txt,1.0,73,73,0,1.4222004413604736
GreelanIceCap_skills.txt,0.6708203932499369,55,56,2,1.203810214996338
RainyLondon_rule.txt,0.82915619758885,50,49,1,1.1530828475952148
GreenlandIceSheet_P4Europe.txt,0.9454730171937421,595,595,5,12.20876955986023
Autumn1_Sensore.txt,1.0,73,73,0,1.414020299911499
GreenlandIceSheet_P1ChildLabour.txt,0.8402187836707041,720,715,16,14.162169218063354
Kids_States.txt,0.9666666666666667,282,282,1,5.670284748077393
Kids_rule.txt,0.82915619758885,50,49,1,1.120502233505249
Autumn3_States.txt,0.9333333333333333,282,282,2,5.9956207275390625
Autumn3_Level.txt,0.9073713564728599,396,396,5,7.926552057266235
GreelanIceCap_P2GlobalWarming.txt,0.8043618151097336,579,573,17,11.484076499938965
Pumpkin1_P3Interlaken.txt,0.931854787382905,583,580,11,11.547904014587402
Autumn3_Sensore.txt,1.0,73,73,0,1.4317905902862549
Pumpkin1_Sensore.txt,1.0,73,73,0,1.4462473392486572
Autumn3_P2GlobalWarming.txt,0.8365362877141229,574,573,9,11.390006065368652
dog_skills.txt,1.0,56,56,0,1.248856782913208
RainyLondon_P3Interlaken.txt,0.9195342658665839,584,580,16,11.515454530715942
Autumn1_Workflow.txt,0.8017837257372731,66,66,0,1.438704252243042
GreelanIceCap_P4Europe.txt,0.9390701001210365,598,595,13,11.806899309158325
Pumpkin1_Level.txt,0.9073713564728599,396,396,5,8.009287595748901
Kids_P3Interlaken.txt,0.931854787382905,583,580,11,11.515331506729126
GreelanIceCap_rule.txt,0.82915619758885,51,49,3,1.1303675174713135
Pumpkin1_P1ChildLabour.txt,0.8494519571176349,720,715,13,15.5897798538208
GreenlandIceSheet_Workflow.txt,0.6681531047810609,66,66,1,1.3468997478485107
GreelanIceCap_P5Tamil.txt,0.9293583018243473,721,714,19,14.23375678062439
Autumn3_P3Interlaken.txt,0.931854787382905,583,580,11,11.443045616149902
Autumn1_P4Europe.txt,0.9416527426346925,595,595,5,11.962966442108154
Autumn3_skills.txt,1.0,56,56,0,1.4319188594818115
Kids_Workflow.txt,0.8017837257372731,66,66,0,1.5134129524230957
Kids_P4Europe.txt,0.9454730171937421,595,595,5,11.887590646743774
Autumn1_Level.txt,0.8967288884531952,397,396,6,7.8279805183410645
GreenlandIceSheet_skills.txt,1.0,56,56,0,1.2600810527801514
Autumn3_P5Tamil.txt,0.9275038738455822,718,714,12,15.665995121002197
Pumpkin1_Workflow.txt,0.8017837257372731,66,66,0,1.380795955657959
GreelanIceCap_P1ChildLabour.txt,0.8350681592449252,721,715,22,14.323735237121582
GreenlandIceSheet_States.txt,0.9666666666666667,282,282,1,5.751736879348755
Autumn1_P2GlobalWarming.txt,0.8429711822350008,574,573,8,11.448599815368652
GreenlandIceSheet_P5Tamil.txt,0.9325629856237416,718,714,14,16.16457986831665
Autumn1_P5Tamil.txt,0.9340951610810182,719,714,12,15.438676357269287
GreenlandIceSheet_Sensore.txt,0.9285714285714286,73,73,1,1.4217381477355957
FamilyRunningMAsk_rule.txt,0.82915619758885,50,49,1,1.1431379318237305
Autumn3_P1ChildLabour.txt,0.8494519571176349,720,715,14,14.363759994506836
